year,details,prediction_clean,x
1951,"Saw Shadow at 8:41 AM; Pictured with cheerleaders from PHS and SSCD. Betty Byers, Joan Wadding, Dorothy Armstrong and Kathleen Spinelli.",More winter,1
1950,"No Shadow; Colleen Townsend, actress, was in town to promote the film, “When Willie Comes Marching Home.”",Early spring,-1
1949,Saw Shadow at 7:32 AM.,More winter,1
1948,Saw Shadow at 8:46 AM; Dr. Frank Lorenzo was interviewed on KDKA Radio’s “Brunch With Bill” program.,More winter,1
1947,Saw Shadow at 7:37 AM; First newspaper photo of Groundhog Club members at Gobbler’s Knob.,More winter,1
1946,Saw Shadow at 7:52 AM.,More winter,1
1945,Saw Shadow at 9 AM.,More winter,1
1944,Saw Shadow at 9:10 AM.,More winter,1
1943,Groundhog didn’t make an appearance; relied on Quarryville’s prediction – NO Shadow,Early spring,-1
1942,"Partial Shadow at 7:40 AM; “War clouds have blacked out parts of the shadow.” (“The Spirit,” Feb. 2, 1942).",More winter,1
1941,Saw Shadow at 4:25 PM; Six Groundhog Girls.,More winter,1
1940,"Saw Shadow at 9 AM; Pictured with first Groundhog Day Queen, Miss Margaret Hunam.",More winter,1
1939,Saw Shadow at 9:10 AM.,More winter,1
1938,Saw Shadow at 9 AM; Blackest shadow in history.,More winter,1
1937,Saw Shadow at 9:09 AM; Unfortunate meeting with a skunk.,More winter,1
1936,Saw Shadow at 10:27 AM.,More winter,1
1935,Saw Shadow at 9:11 AM.,More winter,1
1934,No Shadow.,Early spring,-1
1933,Saw Shadow.,More winter,1
1932,Saw Shadow at 9:11 AM.,More winter,1
1931,Saw Shadow at 12:27 AM.,More winter,1
1930,Saw Shadow at 7:11 AM.,More winter,1
1929,Predicted six more weeks of winter before sunrise.,More winter,1
1928,Saw Shadow at 10 AM; Program with Punx’y Rotary Club was on KDKA Radio.,More winter,1
1927,Saw Shadow at 8:35 AM.,More winter,1
1926,Saw Shadow at 9:17 AM.,More winter,1
1925,Saw Shadow 8:13 AM; CJ Margiotti gave groundhog tradition to the Pittsburgh Travel Club.,More winter,1
1924,Saw Shadow 7:13 AM; First appearance of logo with groundhog with umbrella and newspaper.,More winter,1
1923,Saw Shadow.,More winter,1
1922,Saw Shadow 7:11 AM; Groundhog Holiday Dance.,More winter,1
1921,Saw Shadow at 7:17 AM.,More winter,1
1920,Saw Shadow.,More winter,1
1919,Saw Shadow.,More winter,1
1918,Saw Shadow; Temperature 18 below zero.,More winter,1
1917,Saw Shadow at 9:07.,More winter,1
1916,Saw Shadow at 9:07; First films of the event.,More winter,1
1915,Saw Shadow at 11:45 AM,More winter,1
1914,"Saw Shadow at 9:34 AM, Groundhog demonstrated “The Groundhog Flop”",More winter,1
1913,Saw Shadow at 8:80 am. First newspaper photo of Groundhog by John Frampton. A new dance “The Groundhog Roll” was demonstrated by Joe Winslow.,More winter,1
1912,Saw Shadow.,More winter,1
1911,Saw Shadow; “55 couples at Groundhog Day Dance.”,More winter,1
1910,Saw Shadow.,More winter,1
1909,Saw Shadow.,More winter,1
1908,Saw Shadow; First front page coverage,More winter,1
1907,Saw Shadow.,More winter,1
1906,Saw Shadow.,More winter,1
1905,Saw Shadow.,More winter,1
1904,Saw Shadow.,More winter,1
1903,Saw Shadow.,More winter,1
1902,Probably No Shadow.,Early spring,-1
1901,Saw Shadow.,More winter,1
1900,Saw Shadow.,More winter,1
1899,No Record. Groundhog Club founded.,Other,0
1898,Saw Shadow.,More winter,1
1897,No Record.,Other,0
1896,No Record.,Other,0
1895,No Record.,Other,0
1894,No Record.,Other,0
1893,No Record.,Other,0
1892,No Record.,Other,0
1891,No Record.,Other,0
1890,No Shadow.,Early spring,-1
1889,No Record.,Other,0
1888,Saw Shadow.,More winter,1
1887,First Official trek to Gobbler’s Knob. Saw Shadow.,More winter,1
1886,Groundhog Day first recognized in Punxsutawney by Weathers Wags,Other,0
